,text,intent
87,What can I do to assist you right now?,greeting
88,How can I make your experience better?,greeting
89,Any burning questions on your mind?,greeting
90,What's on your to-do list today?,greeting
91,What can I do to make your day brighter?,greeting
92,How can I add value to your day?,greeting
93,Is there anything you'd like to talk about?,greeting
94,Any challenges I can help you overcome?,greeting
95,How's your journey been so far?,greeting
96,Greetings and salutations! How may I be of service today?,greeting
97,Hey there! What exciting things are happening in your world?,greeting
98,Welcome,greeting
99,"Hello, lovely human! Ready for an awesome conversation?",greeting
100,Have a nice day,goodbye
101,It was a pleasure speaking with you,goodbye
102,I will see you then,goodbye
103,Have a great rest of your day,goodbye
104,It was a pleasure seeing you,goodbye
105,cya,goodbye
106,see you,goodbye
107,bye bye,goodbye
108,See you later,goodbye
109,Goodbye,goodbye
110,I am Leaving,goodbye
111,Bye,goodbye
112,Have a Good day,goodbye
113,talk to you later,goodbye
114,tyyl,goodbye
115,i got to go,goodbye
116,gtg,goodbye
117,Bye,goodbye
118,See you soon,goodbye
119,Farewell,goodbye
120,Taking off,goodbye
121,Off going ,goodbye
122,Retirement,goodbye
123,Have a good time,goodbye
124,Enjoy,goodbye
125,So long,goodbye
126,Leaving ,goodbye
127,Have fun,goodbye
128,Gotta go,goodbye
129,Parting,goodbye
130,Keep in touch,goodbye
131,Goodbye!,goodbye
132,See you later!,goodbye
133,Farewell!,goodbye
134,Until next time!,goodbye
135,Take care!,goodbye
136,Bye for now!,goodbye
137,It was nice chatting with you!,goodbye
138,I'll catch you later!,goodbye
139,Have a great day!,goodbye
140,"Goodbye, and thank you!",goodbye
141,So long!,goodbye
142,TTFN (Ta-Ta For Now)!,goodbye
143,Until we meet again!,goodbye
144,Adios!,goodbye
145,Have a wonderful day!,goodbye
146,Bye-bye!,goodbye
147,I'm signing off now.,goodbye
148,Until we talk again!,goodbye
149,"Goodbye, chatbot!",goodbye
150,Wishing you the best!,goodbye
151,"Time to go, see you!",goodbye
152,It's been a pleasure!,goodbye
153,Take it easy!,goodbye
154,Until our next conversation!,goodbye
155,Until we chat again!,goodbye
156,Catch you on the flip side!,goodbye
157,"Until next time, friend!",goodbye
158,See you on the other side!,goodbye
159,Until our next interaction!,goodbye
160,Goodbye and take care!,goodbye
161,Until we connect again!,goodbye
162,I'm logging off now.,goodbye
163,It's been a great conversation!,goodbye
164,Until our next exchange!,goodbye
165,Until we speak again!,goodbye
166,I'll be back!,goodbye
167,"Bye, and stay well!",goodbye
168,Until our next rendezvous!,goodbye
169,So long and thanks for the chat!,goodbye
170,Time to say goodbye!,goodbye
171,Until our next discussion!,goodbye
172,See you soon!,goodbye
173,Until we meet in cyberspace!,goodbye
174,It's time for me to go.,goodbye
175,"Goodbye, my virtual friend!",goodbye
176,Until our paths cross again!,goodbye
177,I'm saying farewell!,goodbye
178,Until we reconnect!,goodbye
179,Take good care!,goodbye
180,Until our next engagement!,goodbye
181,I'm signing out now.,goodbye
182,"Goodbye, until next time!",goodbye
183,Until our next meeting!,goodbye
184,I'll be back for more!,goodbye
185,"Bye, and have a good one!",goodbye
186,Until we talk again!,goodbye
187,Until we meet again in the digital realm!,goodbye
188,I'm saying my goodbyes!,goodbye
189,Until our next exchange of words!,goodbye
190,I'm saying my adieus!,goodbye
191,Fare thee well!,goodbye
192,It's time to bid adieu!,goodbye
193,Until our next conversation thread!,goodbye
194,"I'm closing this chapter, goodbye!",goodbye
195,Until we cross paths again!,goodbye
196,Time to say my farewells!,goodbye
197,Until our next chat session!,goodbye
198,"I'm heading out, goodbye!",goodbye
199,Until we speak again soon!,goodbye
200,"I'm off, take care!",goodbye
201,Until our next interaction online!,goodbye
202,what is the name of your developers,creator
203,what is the name of your creators,creator
204,what is the name of the developers,creator
205,what is the name of the creators,creator
206,who created you,creator
207,your developers,creator
208,what is your father's name,creator
209,your creators,creator
210,who are your developers,creator
211,developers,creator
212,you are made by,creator
213,you are made by whom,creator
214,who created you,creator
215,Composer,creator
216,Mastermind ,creator
217,Deviser,creator
218,Architect,creator
219,who create you,creator
220,parents,creator
221,Innovators,creator
222,Who innovates,creator
223,Designer,creator
224,creators,creator
225,Who discover you,creator
226,discovered,creator
227,who made you,creator
228,who designed you,creator
229,Who is behind your development?,creator
230,Can you tell me about your origin?,creator
231,What is the story behind your creation?,creator
232,How did you come into existence?,creator
233,Tell me about the mind behind you.,creator
234,Who is responsible for your existence?,creator
235,How were you created?,creator
236,Share some details about your makers.,creator
237,What can you tell me about your creators?,creator
238,Describe the process of your creation.,creator
239,Who brought you to life?,creator
240,What brilliant minds gave birth to you?,creator
241,Who are the masterminds behind you?,creator
242,Give me some insights into your creators.,creator
243,Explain the genesis of your existence.,creator
244,Talk about the individuals who made you.,creator
245,Who are the brains behind your design?,creator
246,What team or person created you?,creator
247,Can you introduce me to your creators?,creator
248,Share some information about your architects.,creator
249,Who are the architects of your being?,creator
250,I'm curious about the minds behind you.,creator
251,Who is responsible for your intelligence?,creator
252,Tell me about those who designed you.,creator
253,Discuss your creators with me.,creator
254,Enlighten me about your creator.,creator
255,Can you reveal your creator's identity?,creator
256,How did your creators conceptualize you?,creator
257,Provide some details about your developers.,creator
258,Share information about your innovators.,creator
259,Talk about those who innovated you.,creator
260,Who devised your existence?,creator
261,Can you introduce me to your designers?,creator
262,Who are the geniuses behind your design?,creator
263,I want to know more about your creators.,creator
264,Discuss your creators' role in your design.,creator
265,What can you tell me about your architects?,creator
266,Share details about those who shaped you.,creator
267,Who brought you into being?,creator
268,Talk to me about the minds who made you.,creator
269,I'm interested in learning about your creators.,creator
270,Tell me about the brilliant minds behind you.,creator
271,Who is the brainchild behind your creation?,creator
272,Describe the individuals who developed you.,creator
273,Who played a role in creating you?,creator
274,I want to know more about your originators.,creator
275,Share insights into your creator's vision.,creator
276,Who is responsible for your functionality?,creator
277,Tell me about the individuals who crafted you.,creator
278,Describe the masterminds behind your creation.,creator
279,Who had a hand in your creation?,creator
280,Provide information about your originators.,creator
281,Can you talk about the individuals who made you?,creator
282,Who are the innovators behind your design?,creator
283,Share some details about your origin.,creator
284,What can you reveal about your creators?,creator
285,Who are the people responsible for your existence?,creator
286,Enlighten me about those who created you.,creator
287,I'm interested in your creators. Can you share more?,creator
288,Who are the brilliant minds that developed you?,creator
289,Tell me about the creators behind your design.,creator
290,Provide details about the individuals who brought you to life.,creator
291,Who are the architects of your intelligence?,creator
292,Who are the masterminds behind your development?,creator
293,Can you provide information about the brains behind your creation?,creator
294,Tell me about the individuals responsible for bringing you to life.,creator
295,What innovative minds contributed to your design and development?,creator
296,Who are the ingenious minds that conceptualized and designed you?,creator
297,Explain the creators and architects behind your existence.,creator
298,Can you share insights into the designers and developers who brought you into being?,creator
299,Tell me about the innovative minds responsible for your creation.,creator
300,Who are the individuals credited with your design and development?,creator
301,Share some insights into the minds that shaped you.,creator
302,What is your designated identifier?,name
303,Can you share the name you go by?,name
304,Tell me the moniker you respond to.,name
305,What is the title you're recognized by?,name
306,name,name
307,Introduction,name
308,Information,name
309,Information about you,name
310,Details,name
311,Information details,name
312,How can I collect your information ,name
313,Can you help me to know u?,name
314,introduce yourself,name
315,Tell me about yourself ,name
316,How can I know you,name
317,What is your information ,name
318,May I know you? ,name
319,May I know you,name
320,why don't you introduce yourself,name
321,your name,name
322,do you have a name,name
323,what are you called,name
324,what is your name,name
325,what should I call you,name
326,whats your name?,name
327,About you,name
328,what are you,name
329,who are you,name
330,who is this,name
331,what am i chatting to,name
332,who am i taking to,name
333,what are you,name
334,who am i talking to,name
335,May I know about you,name
336,Introduce yourself,name
337,Tell me something about you,name
338,Present yourself,name
339,Introduction,name
340,Information,name
341,Information about you,name
342,Details,name
343,Information details,name
344,How can I collect your information?,name
345,Can you help me to know you?,name
346,Introduce yourself,name
347,Tell me about yourself,name
348,How can I know you?,name
349,What is your information?,name
350,May I know you?,name
351,May I know you,name
352,Why don't you introduce yourself?,name
353,Your name,name
354,Do you have a name?,name
355,What are you called?,name
356,What is your name?,name
357,What should I call you?,name
358,What's your name?,name
359,About you,name
360,What are you?,name
361,Who are you?,name
362,Who is this?,name
363,What am I chatting to?,name
364,Who am I talking to?,name
365,What are you?,name
366,May I know about you?,name
367,Introduce yourself,name
368,Tell me something about you,name
369,Present yourself,name
370,Define yourself,name
371,Describe yourself,name
372,Can you provide some information about yourself?,name
373,May I ask about your identity?,name
374,What can you tell me about yourself?,name
375,How would you describe yourself?,name
376,Can you share some details about yourself?,name
377,Clarify your identity,name
378,Share some insights about yourself,name
379,Can you provide an introduction?,name
380,Clarify your existence,name
381,Could you describe your identity?,name
382,What is your self-description?,name
383,Can you give me an overview of who you are?,name
384,How would you introduce yourself?,name
385,Could you provide some information about your identity?,name
386,Can you elaborate on your identity?,name
387,Provide some background information about yourself,name
388,Tell me more about your identity,name
389,Can you give me a brief about yourself?,name
390,What can you reveal about your identity?,name
391,Can you shed light on who you are?,name
392,Share some details about your identity,name
393,Can you give me some background about yourself?,name
394,How do you define yourself?,name
395,What details can you share about yourself?,name
396,Could you give me an introduction to your identity?,name
397,What information can you provide about yourself?,name
398,Share some details about who you are,name
399,Can you tell me about your background?,name
400,What do you want me to know about you?,name
401,Can you provide some insights into your identity?,name
402,timing of college,hours
403,Initial time of starting,hours
404,Final time ,hours
405,Total time schedule ,hours
406,Time for each period,hours
407,what is college timing,hours
408,working days,hours
409,when are you guys open,hours
410,what are your hours,hours
411,hours of operation,hours
412,when is the college open,hours
413,college timing,hours
414,College hours ,hours
415,Break time,hours
416,what about college timing,hours
417,is college open on saturday,hours
418,tell something about college timing,hours
419,what is the college  hours,hours
420,when should i come to college,hours
421,when should i attend college,hours
422,what is my college time,hours
423,college timing,hours
424,College time routine,hours
425,What is the time interval of each subject,hours
426,When will the class over?,hours
427,Is there any early break?,hours
428,A subject consists of what time ?,hours
429,timing college,hours
430,College hours,hours
431,Arriving time ,hours
432,Break time,hours
433,Class hours,hours
434,when will college starts?,hours
435,Initial time of starting,hours
436,Final time,hours
437,Total time schedule,hours
438,Time for each period,hours
439,What is college timing?,hours
440,Working days,hours
441,When are you guys open?,hours
442,What are your hours?,hours
443,Hours of operation,hours
444,When is the college open?,hours
445,College timing,hours
446,College hours,hours
447,Break time,hours
448,What about college timing?,hours
449,Is college open on Saturday?,hours
450,Tell me something about college timing?,hours
451,What is the college hours?,hours
452,When should I come to college?,hours
453,When should I attend college?,hours
454,What is my college time?,hours
455,College time,hours
456,College time routine,hours
457,What is the time interval of each subject?,hours
458,When will the class be over?,hours
459,Is there any early break?,hours
460,A subject consists of what time?,hours
461,Timing college,hours
462,College hours,hours
463,Arriving time,hours
464,Break time,hours
465,Class hours,hours
466,When will college start?,hours
467,What time does the college start?,hours
468,When does the college day begin?,hours
469,Tell me about the college schedule.,hours
470,What is the daily timetable of college?,hours
471,At what time does college end?,hours
472,What are the class hours?,hours
473,When does the first class start?,hours
474,What time is the last class?,hours
475,Can you provide the class schedule?,hours
476,What is the class timetable?,hours
477,Explain the daily schedule of college.,hours
478,What time is the lunch break?,hours
479,When do the classes commence?,hours
480,What is the class duration?,hours
481,Can you share the class timings?,hours
482,What is the duration of each class?,hours
483,What time does the college close?,hours
484,Can you give me the timetable for today?,hours
485,How long is each class period?,hours
486,When do the classes usually end?,hours
487,What is the timing for the lunch break?,hours
488,What time is the final class?,hours
489,When does the college day conclude?,hours
490,Can you provide the daily class schedule?,hours
491,What is the duration of the break?,hours
492,At what time do the classes start?,hours
493,When is the last class of the day?,hours
494,What time is the first class?,hours
495,Explain the time structure of the college?,hours
496,What is the daily schedule for classes at NEC?,hours
497,Can you provide information on the operational hours of the college?,hours
498,Tell me about the timing and routine for classes in Nepal Engineering College.,hours
499,What is the time schedule for lectures and activities at NEC?,hours
500,What is the timing for extracurricular activities?,hours
501,When does the college day usually start?,hours
502,contact info,number
503,how to contact college,number
504,college telephone number,number
505,Contact information ,number
506,college number,number
507,What is your contact no,number
508,Contact number?,number
509,Teachers,number
510,Department number,number
511,College contact number,number
512,Landline number ,number
513,Civil department contact number,number
514,Computer department contact number ,number
515,Electrical department contact number,number
516,Ict contact number,number
517,how to call you,number
518,College phone no?,number
519,how can i contact you,number
520,Can i get your phone number,number
521,how can i call you,number
522,Exam section ,number
523,Library section,number
524,Account section ,number
525,Administration section,number
526,phone number,number
527,phone no,number
528,call,number
529,i need contact number,number
530,i want to know contact number of college,number
531,College contact number,number
532,Phone number,number
533,How can I contact the college?,number
534,College telephone number,number
535,College number,number
536,What is your contact no?,number
537,Contact number?,number
538,What is the contact number of the college?,number
539,Teachers' contact number,number
540,Department number,number
541,Landline number,number
542,Civil department contact number,number
543,Computer department contact number,number
544,Electrical department contact number,number
545,ICT contact number,number
546,How to call you?,number
547,College phone no?,number
548,How can I contact you?,number
549,Can I get your phone number?,number
550,How can I call you?,number
551,Exam section contact number,number
552,Library section contact number,number
553,Account section contact number,number
554,Administration section contact number,number
555,Phone number?,number
556,Phone no?,number
557,Call,number
558,I need contact number,number
559,I want to know the contact number of the college?,number
560,What is the contact number for the college?,number
561,Can you provide the college's phone number?,number
562,How can I reach the college by phone?,number
563,What is the telephone number for the college?,number
564,Can you share the contact information for the college?,number
565,May I have the college's contact number?,number
566,How do I get in touch with the college via phone?,number
567,Could you provide the college's phone contact?,number
568,What is the phone number for the college office?,number
569,Can you give me the college contact details?,number
570,May I know the contact number for the college administration?,number
571,How can I contact the college by phone?,number
572,What is the contact information for the college office?,number
573,Can you share the college's telephone number?,number
574,How do I reach out to the college via phone?,number
575,May I have the contact details for the college?,number
576,What is the phone contact for the college administration?,number
577,Could you provide the college's contact number?,number
578,How can I get in touch with the college office?,number
579,Can you give me the phone number for the college?,number
580,What is the contact number for the college reception?,number
581,May I know the telephone number for the college?,number
582,How do I contact the college administration by phone?,number
583,Could you share the college's contact details?,number
584,What is the college's phone contact?,number
585,Can you provide the contact information for the college office?,number
586,How can I reach the college administration by phone?,number
587,May I have the phone number for the college reception?,number
588,What is the contact number for the college main office?,number
589,Can you give me the college's telephone number?,number
590,How do I get in touch with the college administration?,number
591,Could you provide the college contact details?,number
592,What is the college's phone contact?,number
593,Can you share the contact information for the college office?,number
594,May I know the contact number for the college reception?,number
595,How can I contact the college by phone?,number
596,What is the phone number for the college administration?,number
597,Can you give me the contact details for the college?,number
598,How do I reach out to the college via phone?,number
599,Could you provide the telephone number for the college?,number
600,What is the college's contact number?,number
601,College contact number,number
602,list of courses,course
603,list of courses offered,course
604,list of courses offered in NEC,course
605,what are the courses offered in your college?,course
606,courses?,course
607,Subjects,course
608,Exam oriented topics ,course
609,courses offered,course
610,courses offered in NEC,course
611,courses you offer,course
612,branches?,course
613,courses available at NEC?,course
614,Is project a course?,course
615,branches available at NEC?,course
616,what are the courses in NEC?,course
617,what are branches in NEC?,course
618,what are courses in NEC?,course
619,branches available in NEC?,course
620,can you tell me the courses available in NEC?,course
621,Engineering,course
622,Civil engineering?,course
623,Courses of each branch,course
624,Computer engineering?,course
625,IT engineering?,course
626,Mechanical engineering?,course
627,EXTC engineering?,course
628,Electrical engineering?,course
629,Architecture engineering,course
630,Courses in civik engineering,course
631,Courses in electrical engineering ,course
632,Electronics engineering?,course
633,Civil and Rural engineering?,course
634,civil,course
635,it,course
636,IT,course
637,Computer,course
638,Mechanical,course
639,EXTC,course
640,Electrical,course
641,Comps,course
642,Architecture,course
643,Courses to study,course
644,Engineering course,course
645,Course in electrical engineering ,course
646,Course in computer engineering,course
647,Course in civil engineering ,course
648,What are the courses offered in your college?,course
649,Subjects,course
650,Exam-oriented topics,course
651,Courses offered,course
652,Courses offered in NEC,course
653,Courses you offer,course
654,Branches?,course
655,Courses available at NEC?,course
656,Is project a course?,course
657,Branches available at NEC?,course
658,What are the courses in NEC?,course
659,What are branches in NEC?,course
660,What are courses in NEC?,course
661,Branches available in NEC?,course
662,Can you tell me the courses available in NEC?,course
663,Engineering,course
664,Civil engineering?,course
665,Courses of each branch,course
666,Computer engineering?,course
667,IT engineering?,course
668,Mechanical engineering?,course
669,EXTC engineering?,course
670,Electrical engineering?,course
671,Architecture engineering,course
672,Courses in civil engineering,course
673,Courses in electrical engineering,course
674,Electronics engineering?,course
675,Civil and Rural engineering?,course
676,Civil,course
677,IT,course
678,Computer,course
679,Mechanical,course
680,EXTC,course
681,Electrical,course
682,Comps,course
683,Architecture,course
684,Courses to study,course
685,Engineering course,course
686,Course in electrical engineering,course
687,Course in computer engineering,course
688,What educational programs are available at NEC?,course
689,Can you provide information on the diverse academic offerings at NEC?,course
690,Tell me about the curriculum options for students at NEC.,course
691,What fields of study are covered in the academic programs at NEC?,course
692,Explain the variety of courses and specializations offered by NEC.,course
693,What are the different learning paths available at NEC?,course
694,Can you elaborate on the array of subjects and majors provided at NEC?,course
695,Tell me about the academic disciplines covered in NEC's curriculum.,course
696,What career-oriented programs does NEC offer to students?,course
697,Share insights into the educational opportunities available in various departments at NEC.,course
698,Can you provide details on the diverse study options for students at NEC?,course
699,Tell me about the range of courses and concentrations available in different departments.,course
700,What academic streams are provided for students pursuing education at NEC?,course
701,Explain the spectrum of learning tracks offered across different disciplines at NEC.,course
702,How much investment is required for pursuing a course at NEC?,fees
703,Can you provide details about the financial commitment for each semester?,fees
704,What's the financial expectation for students studying at NEC?,fees
705,Explain the financial structure for pursuing a degree at NEC.,fees
706,Tell me about the cost associated with enrolling in a specific program.,fees
707,Can you share information on the expenses involved in studying at NEC?,fees
708,What is the financial obligation for each academic year at NEC?,fees
709,Provide insights into the financial aspect of pursuing a course at NEC.,fees
710,How much does it cost to enroll in various programs offered by NEC?,fees
711,Can you elaborate on the financial breakdown for different courses?,fees
712,Tell me about the investment required for studying at Nepal Engineering College.,fees
713,information about fee,fees
714,tuition fee,fees
715,fee of computer engineering,fees
716,information on fee,fees
717,tell me the fee,fees
718,college fee,fees
719,fee per semester,fees
720,what is the fee of each semester,fees
721,what is the fees of each year,fees
722,what is fee,fees
723,what is the fees,fees
724,how much is the fees,fees
725,fees for first year,fees
726,fees,fees
727,about the fees,fees
728,tell me something about the fees,fees
729,fees fe,fees
730,fees se,fees
731,fees te,fees
732,fees be,fees
733,fees me,fees
734,fees comps,fees
735,fees it,fees
736,fees mech,fees
737,fees electrical,fees
738,fees computer,fees
739,fees mechanical,fees
740,fees automobile,fees
741,fees open fe,fees
742,fees open se,fees
743,Total fee of BE,fees
744,Total fee of BEarchi,fees
745,Total fee of BE electronic ,fees
746,How much does it cost to study BE,fees
747,Transportation fees,fees
748,Hostel fees,fees
749,Examination fees,fees
750,Tour fees,fees
751,Educational tour fees,fees
752,fees open te,fees
753,fees open be,fees
754,Total amount to pay ,fees
755,Monthly fee,fees
756,BE computer fee,fees
757,BE civil fee,fees
758,BE electrical fee,fees
759,Fee of computer engineering,fees
760,Tell me the fee,fees
761,College fee,fees
762,Fee per semester,fees
763,What is the fee of each semester?,fees
764,What is the fees of each year?,fees
765,What is fee?,fees
766,What is the fees?,fees
767,How much is the fees?,fees
768,Fees for the first year,fees
769,Fees,fees
770,About the fees,fees
771,Tell me something about the fees,fees
772,Fees FE,fees
773,Fees SE,fees
774,Fees TE,fees
775,Fees BE,fees
776,Fees ME,fees
777,Fees Comps,fees
778,Fees IT,fees
779,Fees Mech,fees
780,Fees Electrical,fees
781,Fees Computer,fees
782,Fees Mechanical,fees
783,Fees Automobile,fees
784,Fees Open FE,fees
785,Fees Open SE,fees
786,Total fee of BE,fees
787,Total fee of BE Archi,fees
788,Total fee of BE Electronic,fees
789,How much does it cost to study BE?,fees
790,Transportation fees,fees
791,Hostel fees,fees
792,Examination fees,fees
793,Tour fees,fees
794,Educational tour fees,fees
795,Fees Open TE,fees
796,Fees Open BE,fees
797,Total amount to pay,fees
798,Monthly fee,fees
799,BE computer fee,fees
800,BE civil fee,fees
801,BE electrical fee,fees
802,where is nec,location
803,where is NEC college,location
804,where is the college located,location
805,college is located at,location
806,where is college,location
807,where is college located,location
808,address of college,location
809,how to reach college,location
810,college location,location
811,college address,location
812,wheres the college,location
813,College route ,location
814,Where is block b of college?,location
815,Where is block c of college?,location
816,Which one is block A?,location
817,Where is girls hostel?,location
818,How can I reach ICT,location
819,Any shortest path to reach college?,location
820,how can I reach college,location
821,whats is the college address,location
822,what is the address of college,location
823,Situated?,location
824,Location map,location
825,Map,location
826,Way to college,location
827,address,location
828,location,location
829,Location?,location
830,Address of college,location
831,Where is nec located?,location
832,Way to nec,location
833,Location map?,location
834,College location,location
835,College address,location
836,How to reach college?,location
837,Wheres the college?,location
838,College route,location
839,Where is block B of college?,location
840,Where is block C of college?,location
841,Which one is block A?,location
842,Where is girls hostel?,location
843,Any shortest path to reach college?,location
844,How can I reach ICT?,location
845,How can I reach college?,location
846,Whats is the college address?,location
847,What is the address of college?,location
848,Situated?,location
849,Location map,location
850,Map,location
851,Way to college,location
852,Address,location
853,Location,location
854,Location?,location
855,Address of college,location
856,Where is NEC located?,location
857,Way to NEC,location
858,Location map?,location
859,Can you guide me to NEC?,location
860,Provide directions to NEC.,location
861,What's the location of NEC?,location
862,Where can I find NEC?,location
863,Give me the directions to NEC.,location
864,NEC location?,location
865,Tell me the address of NEC.,location
866,How do I get to NEC?,location
867,Can you show me the way to NEC?,location
868,NEC address?,location
869,What's the address of NEC?,location
870,Provide the location of NEC.,location
871,Directions to NEC?,location
872,Address of NEC?,location
873,What's the location of NEC?,location
874,Show me the map of NEC.,location
875,Guide me to NEC.,location
876,NEC's location?,location
877,Where is the main building of NEC?,location
878,Point me to NEC.,location
879,Location details of NEC.,location
880,Tell me about NEC's location.,location
881,Where exactly is NEC situated?,location
882,"NEC location, please.",location
883,Help me find NEC.,location
884,Provide information about NEC's address.,location
885,NEC location details?,location
886,How can I locate NEC?,location
887,"NEC address, please.",location
888,How to find NEC?,location
889,NEC campus location?,location
890,Where can I find the coordinates of Nepal Engineering College?,location
891,Can you provide the geographical details of NEC's position?,location
892,What's the geographical location of Nepal Engineering College?,location
893,How can I pinpoint the exact location of NEC on a map?,location
894,Tell me about the geographical coordinates of NEC's campus.,location
895,Can you guide me to the geographic location of Nepal Engineering College?,location
896,Provide me with information on the geographical positioning of NEC.,location
897,What are the geographic coordinates for Nepal Engineering College?,location
898,How do I locate Nepal Engineering College on a map?,location
899,Share the precise geographic details of Nepal Engineering College.,location
900,What are the specific geographic coordinates for NEC's campus?,location
901,Give me the details of NEC's location.,location
902,Is there any boys hostel,hostel
903,Comfortable?,hostel
904,Expensive?,hostel
905,Family members are allowed ?,hostel
906,Boys hostel available near the college,hostel
907,Boys hostel related to college,hostel
908,Boys hostel of college,hostel
909,Are boys allowed in hostel,hostel
910,hostel facility,hostel
911,hostel servive,hostel
912,hostel location,hostel
913,hostel address,hostel
914,hostel facilities,hostel
915,hostel fees,hostel
916,Does college provide hostel,hostel
917,Is there any hostel,hostel
918,Hostel of nec,hostel
919,Girls hostel in nec,hostel
920,Who is responsible for the responsibility of hostel?,hostel
921,Facilities for hostel students ,hostel
922,Room sharing available in hostel?,hostel
923,How can I get leave from hostel?,hostel
924,What is the room booking steps for hostel?,hostel
925,Holiday in hostel,hostel
926,Any boys hostel of college ?,hostel
927,Where is hostel,hostel
928,do you have hostel,hostel
929,do you guys have hostel,hostel
930,hostel,hostel
931,hostel capacity,hostel
932,what is the hostel fee,hostel
933,how to get in hostel,hostel
934,what is the hostel address,hostel
935,how far is hostel from college,hostel
936,hostel college distance,hostel
937,where is the hostel,hostel
938,how big is the hostel,hostel
939,distance between college and hostel,hostel
940,Hostel coordinator ,hostel
941,Hostel workers,hostel
942,distance between hostel and college,hostel
943,Boys hostel?,hostel
944,Girls hostel?,hostel
945,Location of hostel,hostel
946,Facilities?,hostel
947,Coordinator of hostel?,hostel
948,Family members are allowed?,hostel
949,Boys hostel available near the college,hostel
950,Boys hostel related to college,hostel
951,Boys hostel of college,hostel
952,Are boys allowed in the hostel?,hostel
953,Hostel facility,hostel
954,Hostel service,hostel
955,Hostel location,hostel
956,Hostel address,hostel
957,Hostel facilities,hostel
958,Hostel fees,hostel
959,Does the college provide hostel?,hostel
960,Is there any hostel?,hostel
961,Hostel of NEC,hostel
962,Girls hostel in NEC,hostel
963,Who is responsible for the hostel?,hostel
964,Facilities for hostel students,hostel
965,Room sharing available in the hostel?,hostel
966,How can I get leave from the hostel?,hostel
967,What is the room booking process for the hostel?,hostel
968,Holiday in the hostel?,hostel
969,Any boys hostel of the college?,hostel
970,Where is the hostel?,hostel
971,Do you have a hostel?,hostel
972,Do you guys have a hostel?,hostel
973,Hostel,hostel
974,Hostel capacity,hostel
975,What is the hostel fee?,hostel
976,How to get into the hostel?,hostel
977,What is the hostel address?,hostel
978,How far is the hostel from the college?,hostel
979,Hostel-college distance,hostel
980,Where is the hostel?,hostel
981,How big is the hostel?,hostel
982,Distance between the college and the hostel?,hostel
983,Hostel coordinator?,hostel
984,Hostel workers?,hostel
985,Distance between the hostel and the college?,hostel
986,Boys hostel?,hostel
987,Girls hostel?,hostel
988,Location of the hostel?,hostel
989,Facilities?,hostel
990,What kind of facilities are provided in the hostel?,hostel
991,Can you describe the amenities available in the boys' hostel?,hostel
992,Tell me about the features of the girls' hostel.,hostel
993,Are there any special services offered in the hostel?,hostel
994,How can I book a room in the hostel?,hostel
995,What is the procedure for getting leave from the hostel?,hostel
996,Tell me about the holiday arrangements in the hostel.,hostel
997,Explain the responsibilities of the hostel coordinator.,hostel
998,Are there workers specifically assigned to the hostel?,hostel
999,Can you provide details about the distance between the hostel and college?,hostel
